,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmed,prec,irrigacao,ano,mes
2004-08-09,3.949074511633674,0,11.7,0.78,2.7643521581435717,20,8.834284051647938,26.8941000984769,15.159061982274157,1.0,3.080278119074266,2.970439639527564,3.080278119074266,0.0,12.188622342746593,17.029560360472438,17.029560360472438,2.970439639527564,96.43413759080586,2,14.0,11.7,0,2004,8
2004-08-10,3.9929173270083593,0,0.0,0.8,2.379916932213279,20,0,24.204690088629217,15.64315578404674,0.8101125066748431,3.1943338616066876,2.979924765464012,3.1943338616066876,2.970439639527564,9.692791379055164,14.049635595008425,14.049635595008425,2.979924765464012,93.28783072052363,2,21.6,0.0,0,2004,8
2004-08-11,4.036760142383045,0,0.0,0.8200000000000001,1.9850253144727639,20,0,21.784221079766297,16.078840205642067,0.629925770211735,3.3101433167540972,2.917406023960063,3.3101433167540972,5.950364404991577,7.211069776690427,11.132229571048363,11.132229571048363,2.917406023960063,88.13533870856233,2,24.7,0.0,0,2004,8
2004-08-12,4.082590686778969,0,0.0,0.8400000000000001,1.590691786944662,20,0,19.605798971789667,16.47095618507786,0.46161168001979475,3.4293761768943347,2.6925684334864495,3.4293761768943347,8.86777042895164,4.910617322639771,8.439661137561913,8.439661137561913,2.6925684334864495,78.51481711536402,2,24.95,0.0,0,2004,8
2004-08-13,4.128421231174895,0,0.0,0.86,1.2194866678481293,20,0,17.6452190746107,16.823860566570072,0.3128605163663143,3.5504422588104094,2.283845488903891,3.5504422588104094,11.560338862438087,2.9796762152280944,6.155815648658022,6.155815648658022,2.283845488903891,64.32566205622798,2,26.05,0.0,0,2004,8
2004-08-14,4.17425177557082,0,0.0,0.88,0.8993573540524086,20,0,15.880697167149638,17.141474509913067,0.19235744023445794,3.6733415625023214,1.7635433105048863,3.6733415625023214,13.84418435134198,1.5337468480662009,4.392272338153136,4.392272338153136,1.7635433105048863,48.00923846851696,2,26.65,0.0,0,2004,8
2004-08-15,4.220082319966744,0,0.0,0.9,0.6487512793551664,20,0,14.292627450434665,17.42732705892176,0.10441069883653598,3.79807408797007,1.2557707661343493,3.79807408797007,15.607727661846868,0.5638286309405449,3.1365015720187865,3.1365015720187865,1.2557707661343493,33.06335624446737,2,27.2,0.0,0,2004,8
2004-08-16,4.26591286436267,0,2.4,0.92,0.826638164787368,20,0,12.863364705391191,17.684594353029585,0.18214135200090445,3.924639835213656,1.7821021201113256,3.924639835213656,14.463498427981216,1.438993804937043,3.754399451907461,3.754399451907461,1.7821021201113256,45.40804239210676,2,27.0,2.4,0,2004,8
2004-08-17,4.311743408758594,0,7.4,0.94,1.6833217910397864,20,0,11.577028234852076,17.916134917726627,0.506277409234036,4.053038804233078,3.22123133190087,4.053038804233078,8.845600548092541,5.849303037733216,7.933168120006592,7.933168120006592,3.22123133190087,79.4769427950344,2,27.8,7.4,0,2004,8
2004-08-18,4.357573953154519,0,0.0,0.96,1.2099278368007786,20,0,10.419325411366867,18.124521425953965,0.33422617919643705,4.183270995028338,2.6736455550090437,4.183270995028338,12.066831879993412,3.3840439909515094,5.259522564997549,5.259522564997549,2.6736455550090437,63.912798338586526,2,27.6,0.0,0,2004,8
2004-08-19,4.4034044975504445,0,0.0,0.98,0.8105931861187388,20,0,9.377392870230175,18.312069283358568,0.1950403197524959,4.315336407599435,1.974606886114252,4.315336407599435,14.740477435002454,1.596984962241861,3.284915678883297,3.284915678883297,1.974606886114252,45.75788999061373,2,26.85,0.0,0,2004,8
2004-08-20,4.449235041946369,0,0.0,1.0,0.5115376681914314,20,0,8.43965358320716,18.480862355022712,0.09554630081567068,4.449235041946369,1.3095104894390097,4.449235041946369,16.715084321116706,0.4562675444669946,1.9754051894442872,1.9754051894442872,1.3095104894390097,29.43226143580289,2,27.5,0.0,0,2004,8
2004-08-21,4.495065586342294,0,0.0,1.018181818181818,0.31078515601535484,20,0,7.595688224886442,18.63277611952044,0.032640402324566574,4.576794051548517,0.6081813089647234,4.576794051548517,18.024594810555715,0.0,1.3672238804795638,1.3672238804795638,0.8081999788023991,13.288369590476783,2,26.9,0.0,0,2004,8
2004-08-22,4.49662921543637,0,0.0,1.0363636363636364,0.21517645957523412,20,0,6.836119402397801,18.769498507568397,0.007284285618650155,4.660143005088601,0.13672238804795603,4.660143005088601,18.63277611952044,0.0,1.2305014924316078,1.2305014924316078,0.5931943142733764,2.933866791183516,2,26.3,0.0,0,2004,8
2004-08-23,4.498192844530445,0,0.0,1.0545454545454545,0.19372615529539622,20,0,6.152507462158017,18.892548656811556,0.006513157725746843,4.743548817868469,0.12305014924316032,4.743548817868469,18.769498507568397,0.0,1.1074513431884474,1.1074513431884474,0.5962656886955618,2.5940525536417556,2,25.95,0.0,0,2004,8
2004-08-24,4.499756473624521,0,0.0,1.0727272727272728,0.1744141472757735,20,0,5.53725671594222,19.0032937911304,0.0058276810081488925,4.827011489888122,0.1107451343188444,4.827011489888122,18.892548656811556,0.0,0.996706208869603,0.996706208869603,0.5998970891445577,2.294279484331851,2,26.75,0.0,0,2004,8
2004-08-25,4.501320102718596,0,0.0,1.0909090909090908,0.15702727930712143,20,0,4.983531044348002,19.10296441201736,0.005217547326019144,4.910531021147559,0.09967062088696005,4.910531021147559,19.0032937911304,0.0,0.897035587982643,0.897035587982643,0.6040317817656928,2.0297320281191844,2,27.0,0.0,0,2004,8
2004-08-26,4.5028837318126715,0,0.0,1.1090909090909091,0.141373643459442,20,0,4.485177939913196,19.192667970815624,0.004673845185810914,4.994107411646781,0.08970355879826393,4.994107411646781,19.10296441201736,0.0,0.8073320291843791,0.8073320291843791,0.608619709714597,1.7961880152810858,2,25.8,0.0,0,2004,8
2004-08-27,4.504447360906747,0,0.0,1.1272727272727272,0.1272804619882273,20,0,4.036660145921882,19.27340117373406,0.004188840474532407,5.077740661385787,0.08073320291843765,5.077740661385787,19.192667970815624,0.0,0.7265988262659414,0.7265988262659414,0.6136165254525312,1.5899434079487709,2,26.8,0.0,0,2004,8
2004-08-28,4.5060109900008225,0,4.0,1.1454545454545455,0.7454337189767761,20,0,3.632994131329692,19.346061056360654,0.21051623225843036,5.1614307703645785,2.415344138612661,5.1614307703645785,15.27340117373406,1.6573157440139328,2.31125468765328,2.31125468765328,2.415344138612661,46.796019283661785,2,28.05,4.0,0,2004,8
2004-08-29,4.507574619094898,0,0.8,1.1636363636363636,0.4908474432262081,20,0,3.2696947181967317,19.41145495072459,0.1299598430298858,5.245177738583154,1.817587643377892,5.245177738583154,16.88874531234672,0.7051219949999754,1.293667044275388,1.293667044275388,1.817587643377892,34.6525462808981,2,27.35,0.8,0,2004,8
2004-08-30,4.509138248188974,0,7.5,1.2,1.3878151143913362,20,0,2.9427252463770515,19.47030945565213,0.4244399154903276,5.410965897826769,3.8482749383814974,5.410965897826769,11.206332955724614,4.415701561546021,4.945392105893891,4.945392105893891,3.8482749383814974,71.11992592537125,2,27.3,7.5,0,2004,8
2004-08-31,4.51070187728305,0,14.5,1.2,3.06993283367962,20,0,2.6484527217393428,19.523278510086918,0.9715924815691399,5.41284225273966,5.143478968723234,5.41284225273966,0.554607894106109,13.825191647257576,14.301913137170658,14.301913137170658,5.143478968723234,95.02362582467482,2,26.35,14.5,0,2004,8
2004-09-01,4.512265506377125,0,0.0,1.2,2.2586910263419955,20,0,2.3836074495654103,19.570950659078225,0.7088497660594626,5.41471860765255,4.819306514152336,5.41471860765255,5.69808686282934,9.053557282096548,9.482606623018322,9.482606623018322,4.819306514152336,89.00382205164408,2,27.9,0.0,0,2004,9
2004-09-02,4.508166655172941,0,0.0,1.2,1.4962209843704648,20,0,2.1452467046088763,19.613855593170403,0.46377736253733504,5.4097999862075286,4.0301147609718875,5.4097999862075286,10.517393376981676,5.066347455216839,5.452491862046434,5.452491862046434,4.0301147609718875,74.4965575667641,2,27.6,0.0,0,2004,9
2004-09-03,4.5040678039687565,0,8.6,1.2,2.2152681656481708,20,0,1.930722034147987,19.652470033853362,0.6973658716838962,5.404881364762508,4.787223055402863,5.404881364762508,5.947508137953564,8.917738840496934,9.265268806643572,9.265268806643572,4.787223055402863,88.57221338128696,2,27.65,8.6,0,2004,9
2004-09-04,4.499968952764572,0,0.0,1.2,1.4592697689119944,20,0,1.73764983073319,19.687223030468026,0.45473614146884433,5.399962743317486,3.9867815313880377,5.399962743317486,10.734731193356428,4.96571030572356,5.278487275255534,5.278487275255534,3.9867815313880377,73.82979699853901,3,27.5,0.0,0,2004,9
2004-09-05,4.495870101560387,0,0.0,1.2,0.8305987592800907,20,0,1.563884847659871,19.718500727421223,0.25341622427347,5.395044121872464,2.8420607624931202,5.395044121872464,14.721512724744464,2.1549272401836372,2.436426512762414,2.436426512762414,2.8420607624931202,52.679101380670886,3,28.55,0.0,0,2004,9
2004-09-06,4.491771250356203,0,2.4,1.2,0.760344254757035,20,0,1.4074963628938875,19.7466506546791,0.23209390025622012,5.390125500427444,2.6907138347919846,5.390125500427444,15.163573487237585,1.8923633326495306,2.1457126779704288,2.1457126779704288,2.6907138347919846,49.91931699138745,3,27.45,2.4,0,2004,9
