;Tempo;Num de;NDA;T;P;N;ETP;P-ETP;NEG-AC;ARM;ALT;ETR;DEF;EXC;    ARMx100;;Latitude   =;-23.4256;;;;;;;;Gr†fico;;;;;;;;;;;;;;;gr†fico;P;ETP;ETR;;;;;;;;;;;;Gr†fico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.0;;;;;;             Controle l¢gico;;;;;;;;;;;;co1;vlr; ;ARM;;;;;;;SP-ETP;SP-ETP;;;;;;;;;;
;DEC“NDIOS;Dias;;oC;mm;horas;Thornthwaite1948;mm;;mm;mm;mm;mm;mm;CAD;;d;hn;N;;;;;;;DEC“NDIOS;DEF(-1);EXC;;;;;;;;;;;;;Tempo;mm;Thornthwaite 1948;mm;;;;;;;;;;;;Tempo;CAD;ARM;;;;;;;;;;(mm);EXC;DEF;RET;REP;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;ini;;Logico;;;;;;;ncom;com;;;;;;;;;;
;O2;10;281;21.5275;5.2298;12.4;28.31;-23.1;-635.4;0.17;-0.05;5.3;23.0;0.0;0.2;;-6.96;93.03;12.40;;;;;;;O2;-23.0;0.0;;;;;;;;;;;;;O2;5.23;28.31;5.27;;;;;;;;;;;;O2;100.0;0.2;;;;;;;;;;O2;0.0;-23.0;0.0;0.0;;;;;;;;;;;;;;1;;29.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;O3;10;291;21.477;4.7718;12.6;28.65;-23.9;-659.2;0.14;-0.04;4.8;23.8;0.0;0.1;;-10.69;94.69;12.63;;;;;;;O3;-23.8;0.0;;;;;;;;;;;;;O3;4.77;28.65;4.81;;;;;;;;;;;;O3;100.0;0.1;;;;;;;;;;O3;0.0;-23.8;0.0;0.0;;;;;;;;;;;;;;1;;30.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;N1;10;301;21.396;5.0038;12.8;28.85;-23.8;-683.1;0.11;-0.03;5.0;23.8;0.0;0.1;;-14.11;96.25;12.83;;;;;;;N1;-23.8;0.0;;;;;;;;;;;;;N1;5.00;28.85;5.03;;;;;;;;;;;;N1;100.0;0.1;;;;;;;;;;N1;0.0;-23.8;0.0;0.0;;;;;;;;;;;;;;1;;31.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;N2;10;311;21.357;5.6918;13.0;29.14;-23.5;-706.5;0.09;-0.02;5.7;23.4;0.0;0.1;;-17.11;97.66;13.02;;;;;;;N2;-23.4;0.0;;;;;;;;;;;;;N2;5.69;29.14;5.71;;;;;;;;;;;;N2;100.0;0.1;;;;;;;;;;N2;0.0;-23.4;0.0;0.0;;;;;;;;;;;;;;1;;32.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;N3;10;321;21.426;5.3738;13.2;29.74;-24.4;-730.9;0.07;-0.02;5.4;24.3;0.0;0.1;;-19.60;98.88;13.18;;;;;;;N3;-24.3;0.0;;;;;;;;;;;;;N3;5.37;29.74;5.39;;;;;;;;;;;;N3;100.0;0.1;;;;;;;;;;N3;0.0;-24.3;0.0;0.0;;;;;;;;;;;;;;1;;33.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;D1;10;331;21.6085;5.2078;13.3;30.66;-25.5;-756.4;0.05;-0.02;5.2;25.4;0.0;0.1;;-21.52;99.84;13.31;;;;;;;D1;-25.4;0.0;;;;;;;;;;;;;D1;5.21;30.66;5.22;;;;;;;;;;;;D1;100.0;0.1;;;;;;;;;;D1;0.0;-25.4;0.0;0.0;;;;;;;;;;;;;;1;;34.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;D2;10;341;21.839;5.1398;13.4;31.68;-26.5;-782.9;0.04;-0.01;5.2;26.5;0.0;0.0;;-22.80;100.49;13.40;;;;;;;D2;-26.5;0.0;;;;;;;;;;;;;D2;5.14;31.68;5.15;;;;;;;;;;;;D2;100.0;0.0;;;;;;;;;;D2;0.0;-26.5;0.0;0.0;;;;;;;;;;;;;;1;;35.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;D3;10;351;22.0165;5.4333;13.4;32.42;-27.0;-809.9;0.03;-0.01;5.4;27.0;0.0;0.0;;-23.40;100.81;13.44;;;;;;;D3;-27.0;0.0;;;;;;;;;;;;;D3;5.43;32.42;5.44;;;;;;;;;;;;D3;100.0;0.0;;;;;;;;;;D3;0.0;-27.0;0.0;0.0;;;;;;;;;;;;;;1;;36.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;TOTAIS;;;756.0;1330.0;432.1;966.0;;;2888.4;Ò73,67;906.2;59.8;423.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MêDIAS;;;21.0;36.9;12.0;26.8;;;80.2;;25.2;1.7;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73.6729005;-73.6729005;;;;;;;;;;;;;;;;-27;;;;;;;;;0;0;;;;;;;;;;
